GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
1400000US13057090100,13057090100,"Census Tract 901, Cherokee County, Georgia",598,168,12,20,26,39,77,44,81,65,29,29,26,19,27,35,13,17,207,146,100,95
1400000US13057090200,13057090200,"Census Tract 902, Cherokee County, Georgia",375,149,13,21,24,24,16,24,75,81,18,26,0,18,13,18,5,6,159,105,52,46
1400000US13057090300,13057090300,"Census Tract 903, Cherokee County, Georgia",749,187,23,36,44,49,51,50,101,92,25,40,38,60,77,104,13,21,318,183,59,51
1400000US13057090400,13057090400,"Census Tract 904, Cherokee County, Georgia",2090,278,92,70,65,62,192,106,327,156,171,107,100,58,211,114,397,158,448,161,87,98
1400000US13057090501,13057090501,"Census Tract 905.01, Cherokee County, Georgia",215,107,0,18,37,59,38,43,0,18,29,46,33,53,39,46,0,18,11,20,28,33
1400000US13057090502,13057090502,"Census Tract 905.02, Cherokee County, Georgia",284,160,0,20,0,20,24,33,95,69,0,20,35,57,69,81,0,20,0,20,61,73
1400000US13057090601,13057090601,"Census Tract 906.01, Cherokee County, Georgia",1025,197,66,76,101,91,114,77,85,88,109,68,28,48,80,64,57,61,313,139,72,83
1400000US13057090602,13057090602,"Census Tract 906.02, Cherokee County, Georgia",617,155,0,18,126,114,81,91,63,58,11,17,28,33,0,18,131,104,140,90,37,40
1400000US13057090701,13057090701,"Census Tract 907.01, Cherokee County, Georgia",1313,379,7,14,139,129,274,229,250,210,179,164,119,100,140,193,42,65,125,117,38,61
1400000US13057090702,13057090702,"Census Tract 907.02, Cherokee County, Georgia",773,186,9,15,11,19,106,81,119,81,74,69,143,120,85,95,13,21,182,80,31,32
1400000US13057090802,13057090802,"Census Tract 908.02, Cherokee County, Georgia",255,150,0,18,56,46,0,18,66,108,13,21,18,30,0,18,34,38,0,18,68,82
1400000US13057090803,13057090803,"Census Tract 908.03, Cherokee County, Georgia",188,94,0,20,19,29,0,20,46,45,0,20,20,30,0,20,72,71,18,30,13,22
1400000US13057090804,13057090804,"Census Tract 908.04, Cherokee County, Georgia",376,177,8,15,18,29,68,100,90,93,0,18,122,114,0,18,22,28,13,24,35,38
1400000US13057090901,13057090901,"Census Tract 909.01, Cherokee County, Georgia",328,131,0,18,21,35,138,97,32,37,33,39,0,18,0,18,0,18,104,79,0,18
1400000US13057090902,13057090902,"Census Tract 909.02, Cherokee County, Georgia",634,202,20,34,103,77,96,61,87,69,34,47,111,121,22,38,48,50,56,54,57,68
1400000US13057090904,13057090904,"Census Tract 909.04, Cherokee County, Georgia",821,177,0,18,43,55,38,37,233,132,48,60,49,78,148,144,54,55,164,118,44,46
1400000US13057090905,13057090905,"Census Tract 909.05, Cherokee County, Georgia",602,162,0,13,30,32,239,126,47,47,41,35,74,54,40,56,45,38,86,57,0,13
1400000US13057091001,13057091001,"Census Tract 910.01, Cherokee County, Georgia",790,142,46,54,30,26,66,67,141,78,39,35,59,63,149,95,54,67,206,105,0,13
1400000US13057091003,13057091003,"Census Tract 910.03, Cherokee County, Georgia",1308,199,38,56,114,87,43,50,283,154,191,111,161,106,27,31,176,113,239,110,36,58
1400000US13057091005,13057091005,"Census Tract 910.05, Cherokee County, Georgia",985,203,0,18,31,31,67,67,249,132,214,115,104,133,21,37,109,107,181,116,9,15
1400000US13057091006,13057091006,"Census Tract 910.06, Cherokee County, Georgia",228,87,0,13,30,45,57,52,17,20,24,29,34,36,8,12,29,35,29,28,0,13
1400000US13057091007,13057091007,"Census Tract 910.07, Cherokee County, Georgia",214,115,0,18,38,44,26,40,8,19,60,71,0,18,0,18,54,60,14,24,14,22
1400000US13057091008,13057091008,"Census Tract 910.08, Cherokee County, Georgia",474,146,0,18,99,119,38,62,143,86,49,62,0,18,43,63,26,43,38,53,38,53
1400000US13057091101,13057091101,"Census Tract 911.01, Cherokee County, Georgia",395,122,0,18,67,67,119,60,9,16,25,39,26,38,19,29,45,49,52,55,33,35
1400000US13057091102,13057091102,"Census Tract 911.02, Cherokee County, Georgia",740,195,28,33,0,18,186,125,71,57,85,58,0,18,0,18,122,100,223,124,25,40
1400000US13057091103,13057091103,"Census Tract 911.03, Cherokee County, Georgia",497,190,51,66,15,24,150,104,19,34,60,73,0,18,29,33,0,18,71,58,102,104
1400000US13063040202,13063040202,"Census Tract 402.02, Clayton County, Georgia",607,84,0,13,11,13,66,48,48,40,57,55,46,32,20,22,110,59,211,77,38,35
1400000US13063040203,13063040203,"Census Tract 402.03, Clayton County, Georgia",834,146,24,38,8,12,93,73,148,92,50,42,164,76,40,48,39,43,229,93,39,42
1400000US13063040204,13063040204,"Census Tract 402.04, Clayton County, Georgia",957,142,0,13,67,54,23,25,177,120,98,77,130,97,171,106,69,39,222,101,0,13
1400000US13063040302,13063040302,"Census Tract 403.02, Clayton County, Georgia",878,135,16,27,9,16,112,63,67,57,173,71,90,64,44,51,76,61,279,107,12,18
1400000US13063040303,13063040303,"Census Tract 403.03, Clayton County, Georgia",893,221,0,18,76,79,72,77,39,48,32,49,105,85,0,18,91,96,318,176,160,124
1400000US13063040306,13063040306,"Census Tract 403.06, Clayton County, Georgia",1110,129,9,15,85,66,110,75,74,79,140,94,88,61,110,70,190,109,245,104,59,49
1400000US13063040307,13063040307,"Census Tract 403.07, Clayton County, Georgia",320,90,0,13,0,13,14,15,41,39,28,33,37,34,80,59,29,42,61,46,30,22
1400000US13063040308,13063040308,"Census Tract 403.08, Clayton County, Georgia",934,144,0,18,39,43,107,70,39,34,89,55,64,60,67,59,65,45,416,124,48,46
1400000US13063040407,13063040407,"Census Tract 404.07, Clayton County, Georgia",399,106,17,27,38,44,67,56,23,22,42,36,0,13,49,38,71,55,52,39,40,32
1400000US13063040408,13063040408,"Census Tract 404.08, Clayton County, Georgia",1616,242,94,92,44,40,316,156,282,132,87,73,122,95,165,123,160,103,278,125,68,52
1400000US13063040409,13063040409,"Census Tract 404.09, Clayton County, Georgia",672,142,0,18,0,18,68,58,81,66,50,49,113,67,21,23,139,77,131,88,69,56
1400000US13063040410,13063040410,"Census Tract 404.10, Clayton County, Georgia",766,193,0,18,16,25,73,77,101,118,0,18,92,98,15,25,78,91,385,175,6,11
1400000US13063040411,13063040411,"Census Tract 404.11, Clayton County, Georgia",654,268,0,20,59,61,0,20,66,104,0,20,152,168,15,24,28,34,220,132,114,95
1400000US13063040412,13063040412,"Census Tract 404.12, Clayton County, Georgia",1616,277,13,23,168,104,190,127,242,134,80,68,209,145,140,107,83,82,416,184,75,71
1400000US13063040413,13063040413,"Census Tract 404.13, Clayton County, Georgia",735,204,0,18,37,42,147,124,31,35,85,84,31,37,101,78,94,76,186,102,23,27
1400000US13063040414,13063040414,"Census Tract 404.14, Clayton County, Georgia",322,85,0,13,64,55,15,20,30,33,0,13,21,30,15,23,40,42,85,57,52,43
1400000US13063040415,13063040415,"Census Tract 404.15, Clayton County, Georgia",1465,207,18,30,28,43,138,75,122,107,242,150,60,74,201,128,131,90,455,195,70,66
1400000US13063040416,13063040416,"Census Tract 404.16, Clayton County, Georgia",372,124,0,13,18,28,0,13,23,30,62,63,23,27,49,55,25,46,139,78,33,41
1400000US13063040417,13063040417,"Census Tract 404.17, Clayton County, Georgia",1405,140,0,13,56,53,82,80,184,87,146,98,104,67,65,61,130,77,515,173,123,96
1400000US13063040509,13063040509,"Census Tract 405.09, Clayton County, Georgia",599,132,0,13,29,46,231,112,35,37,25,41,69,66,11,17,43,47,126,76,30,46
1400000US13063040510,13063040510,"Census Tract 405.10, Clayton County, Georgia",460,128,15,25,25,39,9,14,74,49,73,55,7,12,42,45,21,35,179,86,15,24
1400000US13063040512,13063040512,"Census Tract 405.12, Clayton County, Georgia",811,149,0,13,19,21,42,43,58,45,109,83,81,65,93,76,53,53,314,115,42,40
1400000US13063040513,13063040513,"Census Tract 405.13, Clayton County, Georgia",343,132,0,18,43,43,0,18,61,61,73,58,44,60,0,18,0,18,63,71,59,64
1400000US13063040514,13063040514,"Census Tract 405.14, Clayton County, Georgia",1218,250,12,19,42,60,131,93,43,55,61,66,135,87,177,117,101,81,457,198,59,70
1400000US13063040515,13063040515,"Census Tract 405.15, Clayton County, Georgia",1247,238,0,18,84,71,162,118,76,61,212,113,36,41,126,96,113,96,386,133,52,66
