GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
1400000US25025000100,25025000100,"Census Tract 1, Suffolk County, Massachusetts",1139,135,0,12,106,67,127,90,125,82,82,56,130,73,66,63,118,79,363,126,22,25
1400000US25025000201,25025000201,"Census Tract 2.01, Suffolk County, Massachusetts",959,119,6,10,70,61,153,74,134,72,166,86,56,49,23,26,47,44,247,110,57,51
1400000US25025000202,25025000202,"Census Tract 2.02, Suffolk County, Massachusetts",909,118,32,32,72,54,139,75,130,78,120,57,144,82,46,46,79,64,108,63,39,41
1400000US25025000301,25025000301,"Census Tract 3.01, Suffolk County, Massachusetts",604,104,8,12,73,61,151,83,145,63,69,62,9,14,16,24,11,17,93,51,29,27
1400000US25025000302,25025000302,"Census Tract 3.02, Suffolk County, Massachusetts",572,120,0,12,10,15,153,95,47,67,70,43,31,29,0,12,34,53,157,76,70,58
1400000US25025000401,25025000401,"Census Tract 4.01, Suffolk County, Massachusetts",2346,160,46,37,91,74,260,106,217,95,537,174,262,87,71,48,140,105,579,179,143,112
1400000US25025000402,25025000402,"Census Tract 4.02, Suffolk County, Massachusetts",943,143,25,39,12,14,109,70,97,69,38,26,41,41,63,54,97,51,404,117,57,51
1400000US25025000502,25025000502,"Census Tract 5.02, Suffolk County, Massachusetts",1417,128,0,17,35,31,152,75,170,73,87,50,134,94,75,57,63,60,528,125,173,97
1400000US25025000503,25025000503,"Census Tract 5.03, Suffolk County, Massachusetts",880,120,0,12,66,58,123,66,57,37,44,39,74,46,56,65,43,43,269,105,148,74
1400000US25025000504,25025000504,"Census Tract 5.04, Suffolk County, Massachusetts",2308,167,11,21,54,41,147,70,283,158,433,128,163,103,147,85,130,69,813,198,127,86
1400000US25025000601,25025000601,"Census Tract 6.01, Suffolk County, Massachusetts",882,124,12,19,55,48,108,56,152,68,62,39,74,51,31,48,43,30,279,102,66,50
1400000US25025000602,25025000602,"Census Tract 6.02, Suffolk County, Massachusetts",1745,135,24,28,49,38,156,86,217,100,330,124,189,92,137,80,191,78,314,115,138,86
1400000US25025000701,25025000701,"Census Tract 7.01, Suffolk County, Massachusetts",1730,170,48,49,71,62,145,108,225,123,199,98,157,93,216,107,72,50,512,149,85,66
1400000US25025000703,25025000703,"Census Tract 7.03, Suffolk County, Massachusetts",1213,98,6,11,59,54,35,8,77,49,92,66,70,48,9,11,71,47,718,136,76,55
1400000US25025000704,25025000704,"Census Tract 7.04, Suffolk County, Massachusetts",1955,138,0,12,143,74,210,105,189,94,272,147,228,106,119,82,109,65,595,143,90,82
1400000US25025000802,25025000802,"Census Tract 8.02, Suffolk County, Massachusetts",2258,141,12,20,104,68,128,78,147,92,155,77,154,72,115,92,238,124,965,189,240,114
1400000US25025000803,25025000803,"Census Tract 8.03, Suffolk County, Massachusetts",765,102,0,17,37,39,44,34,78,51,17,18,115,63,52,34,20,23,365,96,37,35
1400000US25025010103,25025010103,"Census Tract 101.03, Suffolk County, Massachusetts",429,57,0,12,0,12,29,24,44,16,4,7,0,12,7,9,45,47,206,64,94,38
1400000US25025010104,25025010104,"Census Tract 101.04, Suffolk County, Massachusetts",1344,141,37,25,61,43,26,26,143,55,169,67,84,60,139,92,84,48,469,120,132,72
1400000US25025010203,25025010203,"Census Tract 102.03, Suffolk County, Massachusetts",2937,191,4,18,26,44,165,82,170,77,279,98,298,135,139,86,302,133,1176,215,378,157
1400000US25025010204,25025010204,"Census Tract 102.04, Suffolk County, Massachusetts",875,115,9,15,9,14,19,21,68,73,55,59,88,66,66,66,33,33,437,101,91,77
1400000US25025010300,25025010300,"Census Tract 103, Suffolk County, Massachusetts",236,54,13,2,14,21,7,12,6,11,11,13,12,14,15,15,22,20,104,58,32,38
1400000US25025010403,25025010403,"Census Tract 104.03, Suffolk County, Massachusetts",1835,156,82,84,136,53,134,74,114,81,246,114,162,82,44,43,96,61,529,171,292,130
1400000US25025010404,25025010404,"Census Tract 104.04, Suffolk County, Massachusetts",1524,130,13,20,9,14,67,73,52,46,81,76,53,41,14,23,165,124,849,162,221,101
1400000US25025010405,25025010405,"Census Tract 104.05, Suffolk County, Massachusetts",963,55,15,23,49,35,33,24,119,77,131,58,196,83,16,27,59,43,289,77,56,44
1400000US25025010408,25025010408,"Census Tract 104.08, Suffolk County, Massachusetts",853,57,18,29,35,40,53,58,133,52,74,39,51,34,41,40,65,39,344,79,39,37
1400000US25025010500,25025010500,"Census Tract 105, Suffolk County, Massachusetts",1518,122,28,32,23,22,96,73,171,88,260,116,193,94,24,27,61,49,531,102,131,59
1400000US25025010600,25025010600,"Census Tract 106, Suffolk County, Massachusetts",1508,158,192,90,146,83,90,51,213,81,82,44,97,69,103,82,82,47,420,118,83,45
1400000US25025010701,25025010701,"Census Tract 107.01, Suffolk County, Massachusetts",1157,127,23,29,131,70,176,69,127,72,127,92,35,30,51,48,92,71,288,128,107,82
1400000US25025010702,25025010702,"Census Tract 107.02, Suffolk County, Massachusetts",627,147,50,49,12,23,86,60,151,66,86,54,97,75,14,21,37,36,78,66,16,26
1400000US25025010801,25025010801,"Census Tract 108.01, Suffolk County, Massachusetts",588,145,89,59,86,91,78,43,94,63,85,79,14,18,0,12,0,12,63,51,79,82
1400000US25025010802,25025010802,"Census Tract 108.02, Suffolk County, Massachusetts",1112,162,127,80,84,69,175,82,100,70,143,71,51,33,29,41,139,103,106,74,158,94
1400000US25025020101,25025020101,"Census Tract 201.01, Suffolk County, Massachusetts",1572,210,78,82,173,79,264,132,262,133,264,144,51,47,113,74,31,35,277,142,59,47
1400000US25025020200,25025020200,"Census Tract 202, Suffolk County, Massachusetts",1709,163,26,30,93,53,181,88,219,98,263,97,156,84,158,85,160,105,422,143,31,35
1400000US25025020301,25025020301,"Census Tract 203.01, Suffolk County, Massachusetts",1023,122,23,31,85,62,126,71,113,70,217,112,69,72,199,127,65,47,114,74,12,19
1400000US25025020302,25025020302,"Census Tract 203.02, Suffolk County, Massachusetts",370,104,6,10,70,53,3,5,68,55,27,33,28,30,12,21,77,53,61,53,18,28
1400000US25025020303,25025020303,"Census Tract 203.03, Suffolk County, Massachusetts",1055,160,54,48,76,51,163,93,70,55,210,129,16,25,43,35,125,75,262,132,36,35
1400000US25025030100,25025030100,"Census Tract 301, Suffolk County, Massachusetts",934,130,19,22,71,42,161,79,196,99,48,33,74,55,23,25,74,55,268,97,0,12
1400000US25025030200,25025030200,"Census Tract 302, Suffolk County, Massachusetts",943,94,56,70,91,65,62,39,176,93,120,64,119,76,57,49,67,60,161,83,34,41
1400000US25025030300,25025030300,"Census Tract 303, Suffolk County, Massachusetts",1641,216,177,113,157,76,123,61,258,155,161,89,136,96,95,57,38,38,386,145,110,62
1400000US25025030400,25025030400,"Census Tract 304, Suffolk County, Massachusetts",1119,118,51,33,91,57,185,76,145,73,175,75,62,44,31,25,48,30,282,81,49,43
1400000US25025030500,25025030500,"Census Tract 305, Suffolk County, Massachusetts",991,119,0,12,140,77,113,61,188,90,127,68,172,73,44,44,36,34,155,72,16,19
1400000US25025040100,25025040100,"Census Tract 401, Suffolk County, Massachusetts",561,107,7,12,154,61,85,54,104,73,77,47,24,21,14,17,8,12,78,56,10,15
1400000US25025040200,25025040200,"Census Tract 402, Suffolk County, Massachusetts",482,72,29,21,96,49,96,59,75,55,38,23,18,20,43,28,7,10,49,34,31,30
1400000US25025040300,25025040300,"Census Tract 403, Suffolk County, Massachusetts",820,175,105,107,83,59,159,99,158,99,129,72,54,53,0,12,16,26,62,64,54,69
1400000US25025040401,25025040401,"Census Tract 404.01, Suffolk County, Massachusetts",783,100,54,48,143,76,145,74,71,63,85,47,49,38,46,50,36,32,104,61,50,58
