GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
1400000US17031010100,17031010100,"Census Tract 101, Cook County, Illinois",1758,196,67,77,92,62,159,87,235,120,60,68,71,69,123,81,223,131,606,205,122,90
1400000US17031010201,17031010201,"Census Tract 102.01, Cook County, Illinois",1720,179,0,15,78,70,195,94,192,104,208,111,89,81,95,75,206,102,610,169,47,53
1400000US17031010202,17031010202,"Census Tract 102.02, Cook County, Illinois",825,116,0,11,42,41,159,101,17,21,58,43,48,34,1,6,134,79,346,119,20,32
1400000US17031010300,17031010300,"Census Tract 103, Cook County, Illinois",1867,239,42,41,113,100,194,117,428,175,73,60,117,99,135,81,76,86,570,193,119,96
1400000US17031010400,17031010400,"Census Tract 104, Cook County, Illinois",1363,166,13,22,77,67,186,118,145,86,119,63,76,45,100,67,98,74,475,121,74,45
1400000US17031010501,17031010501,"Census Tract 105.01, Cook County, Illinois",1805,172,12,22,165,123,92,68,149,103,247,114,175,118,159,87,163,117,503,147,140,123
1400000US17031010502,17031010502,"Census Tract 105.02, Cook County, Illinois",1278,160,21,34,30,31,164,130,172,88,77,42,94,62,45,33,113,77,516,160,46,45
1400000US17031010503,17031010503,"Census Tract 105.03, Cook County, Illinois",878,124,8,12,40,37,109,53,56,37,119,60,109,59,52,54,37,33,255,87,93,52
1400000US17031010600,17031010600,"Census Tract 106, Cook County, Illinois",2446,179,77,60,28,34,316,148,358,168,334,172,229,133,165,122,385,146,502,178,52,63
1400000US17031010701,17031010701,"Census Tract 107.01, Cook County, Illinois",804,130,19,21,59,47,78,45,118,73,69,52,68,53,69,69,103,73,149,82,72,66
1400000US17031010702,17031010702,"Census Tract 107.02, Cook County, Illinois",1296,144,0,15,135,95,94,52,88,56,50,32,157,98,77,61,135,82,497,134,63,62
1400000US17031020100,17031020100,"Census Tract 201, Cook County, Illinois",685,128,48,34,51,55,99,71,133,89,22,26,0,11,0,11,70,77,253,102,9,14
1400000US17031020200,17031020200,"Census Tract 202, Cook County, Illinois",335,121,0,15,45,49,22,26,0,15,68,66,9,15,0,15,12,20,111,91,68,78
1400000US17031020301,17031020301,"Census Tract 203.01, Cook County, Illinois",581,133,55,63,16,19,29,43,73,76,52,56,61,41,104,83,91,88,59,39,41,33
1400000US17031020302,17031020302,"Census Tract 203.02, Cook County, Illinois",851,158,0,11,68,68,104,64,114,91,63,51,10,15,75,85,154,110,165,84,98,99
1400000US17031020400,17031020400,"Census Tract 204, Cook County, Illinois",915,128,23,37,47,39,163,95,122,65,55,39,108,56,49,37,53,34,266,101,29,26
1400000US17031020500,17031020500,"Census Tract 205, Cook County, Illinois",1422,202,0,15,70,68,25,30,163,128,284,139,172,92,93,85,237,126,300,122,78,74
1400000US17031020601,17031020601,"Census Tract 206.01, Cook County, Illinois",1141,184,21,27,60,47,129,93,66,71,75,80,133,112,78,74,149,117,415,168,15,24
1400000US17031020602,17031020602,"Census Tract 206.02, Cook County, Illinois",948,139,0,11,84,64,61,55,230,117,37,37,26,31,48,48,99,60,329,115,34,43
1400000US17031020701,17031020701,"Census Tract 207.01, Cook County, Illinois",200,70,42,62,11,12,17,16,19,21,34,18,4,7,6,11,0,11,56,55,11,18
1400000US17031020702,17031020702,"Census Tract 207.02, Cook County, Illinois",1379,189,0,15,70,63,117,89,144,79,217,132,93,73,30,31,97,94,543,181,68,55
1400000US17031020801,17031020801,"Census Tract 208.01, Cook County, Illinois",1121,220,21,36,134,85,123,90,58,52,206,135,54,87,97,110,47,45,351,154,30,34
1400000US17031020802,17031020802,"Census Tract 208.02, Cook County, Illinois",1286,181,64,63,63,67,142,91,48,59,163,124,59,45,183,147,98,73,405,172,61,68
1400000US17031020901,17031020901,"Census Tract 209.01, Cook County, Illinois",1262,169,0,15,25,27,111,78,60,40,184,103,77,51,141,101,198,112,409,135,57,53
1400000US17031020902,17031020902,"Census Tract 209.02, Cook County, Illinois",577,117,17,19,85,59,14,22,63,55,26,24,46,43,19,23,73,51,206,90,28,35
1400000US17031030101,17031030101,"Census Tract 301.01, Cook County, Illinois",1465,221,56,75,63,79,99,92,163,107,351,223,205,113,132,94,32,38,310,121,54,59
1400000US17031030102,17031030102,"Census Tract 301.02, Cook County, Illinois",896,173,0,11,16,18,88,69,155,95,81,66,39,33,43,46,167,97,222,99,85,80
1400000US17031030103,17031030103,"Census Tract 301.03, Cook County, Illinois",834,114,0,11,131,78,45,45,189,151,64,57,63,49,72,79,88,50,147,80,35,35
1400000US17031030104,17031030104,"Census Tract 301.04, Cook County, Illinois",794,147,6,11,35,27,39,27,107,81,36,32,55,62,137,111,23,25,323,132,33,24
