GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
1400000US08001007801,08001007801,"Census Tract 78.01, Adams County, Colorado",1111,92,20,21,45,43,88,57,91,53,91,45,159,85,23,32,191,87,386,102,17,20
1400000US08001007802,08001007802,"Census Tract 78.02, Adams County, Colorado",1236,94,54,38,17,22,185,75,169,67,134,71,94,61,113,51,103,58,307,109,60,41
1400000US08001007900,08001007900,"Census Tract 79, Adams County, Colorado",1263,114,9,14,26,27,107,49,197,85,107,67,159,63,106,53,119,56,408,102,25,31
1400000US08001008000,08001008000,"Census Tract 80, Adams County, Colorado",743,122,59,57,60,54,87,71,99,60,87,59,52,47,27,36,43,45,177,86,52,38
1400000US08001008100,08001008100,"Census Tract 81, Adams County, Colorado",640,58,17,19,32,22,17,16,71,40,42,31,39,30,55,40,59,47,210,62,98,80
1400000US08001008200,08001008200,"Census Tract 82, Adams County, Colorado",486,111,12,18,39,43,60,47,123,82,44,44,41,32,0,16,36,47,106,68,25,28
1400000US08001008308,08001008308,"Census Tract 83.08, Adams County, Colorado",814,149,40,44,25,42,57,47,57,49,75,55,90,73,25,41,77,55,302,120,66,53
1400000US08001008309,08001008309,"Census Tract 83.09, Adams County, Colorado",358,88,0,11,11,18,20,26,98,69,112,66,0,11,17,27,20,25,72,50,8,13
1400000US08001008353,08001008353,"Census Tract 83.53, Adams County, Colorado",597,155,0,16,72,66,129,87,41,65,119,107,48,54,12,19,123,95,45,48,8,13
1400000US08001008401,08001008401,"Census Tract 84.01, Adams County, Colorado",297,92,16,26,6,10,51,48,43,23,55,48,46,44,6,9,21,35,27,19,26,23
1400000US08001008402,08001008402,"Census Tract 84.02, Adams County, Colorado",177,61,12,20,0,11,30,31,0,11,52,49,45,34,0,11,19,16,19,21,0,11
1400000US08001008505,08001008505,"Census Tract 85.05, Adams County, Colorado",547,159,0,16,0,16,88,81,94,76,45,40,69,54,18,29,0,16,201,112,32,37
1400000US08001008506,08001008506,"Census Tract 85.06, Adams County, Colorado",2138,206,0,16,158,105,265,133,205,109,98,75,348,154,122,77,336,154,588,160,18,29
1400000US08001008507,08001008507,"Census Tract 85.07, Adams County, Colorado",397,143,26,42,6,13,92,78,26,30,50,48,46,42,43,40,0,16,78,83,30,35
1400000US08001008508,08001008508,"Census Tract 85.08, Adams County, Colorado",722,123,0,16,37,45,76,70,181,83,70,40,99,62,18,19,71,55,142,83,28,46
1400000US08001008523,08001008523,"Census Tract 85.23, Adams County, Colorado",477,152,0,16,14,22,45,66,75,56,109,73,72,75,22,26,45,58,49,48,46,54
1400000US08001008524,08001008524,"Census Tract 85.24, Adams County, Colorado",254,131,0,16,0,16,59,56,52,81,117,99,0,16,0,16,0,16,26,31,0,16
1400000US08001008526,08001008526,"Census Tract 85.26, Adams County, Colorado",536,140,0,16,38,35,83,76,61,63,54,51,106,81,23,26,75,67,96,91,0,16
1400000US08001008529,08001008529,"Census Tract 85.29, Adams County, Colorado",1934,244,0,16,166,122,143,93,241,155,456,162,288,141,108,67,57,46,419,177,56,53
1400000US08001008533,08001008533,"Census Tract 85.33, Adams County, Colorado",1531,196,29,35,97,73,183,92,204,108,196,118,244,106,82,72,178,131,268,116,50,43
