GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
1400000US26087330000,26087330000,"Census Tract 3300, Lapeer County, Michigan",171,48,11,9,19,16,23,20,5,7,25,19,3,5,7,7,33,29,15,10,30,16
1400000US26087330500,26087330500,"Census Tract 3305, Lapeer County, Michigan",135,40,0,109,26,23,21,18,14,15,12,14,10,9,12,8,16,15,15,10,9,7
1400000US26087331000,26087331000,"Census Tract 3310, Lapeer County, Michigan",130,67,11,19,0,109,2,4,47,59,0,109,6,10,0,109,16,18,22,20,26,20
1400000US26087331500,26087331500,"Census Tract 3315, Lapeer County, Michigan",116,47,0,109,0,109,14,18,0,109,21,24,3,5,6,6,0,109,24,21,48,35
1400000US26087332000,26087332000,"Census Tract 3320, Lapeer County, Michigan",248,102,33,36,33,39,10,15,24,27,11,17,41,49,0,109,38,57,30,33,28,32
1400000US26087332500,26087332500,"Census Tract 3325, Lapeer County, Michigan",265,74,17,18,7,7,72,61,19,18,41,28,10,10,18,18,36,29,38,22,7,8
1400000US26087333000,26087333000,"Census Tract 3330, Lapeer County, Michigan",50,31,7,11,0,109,0,109,9,14,0,109,0,109,0,109,7,11,0,109,27,25
1400000US26087333500,26087333500,"Census Tract 3335, Lapeer County, Michigan",81,66,0,109,0,109,0,109,15,29,0,109,0,109,0,109,17,27,24,38,25,37
1400000US26087334000,26087334000,"Census Tract 3340, Lapeer County, Michigan",304,84,36,57,19,21,56,52,15,24,28,26,12,20,26,37,51,65,21,25,40,36
1400000US26087334500,26087334500,"Census Tract 3345, Lapeer County, Michigan",36,28,0,109,11,17,0,109,8,13,10,16,0,109,7,11,0,109,0,109,0,109
1400000US26087336000,26087336000,"Census Tract 3360, Lapeer County, Michigan",192,101,0,109,15,24,13,20,0,109,0,109,15,24,0,109,21,31,73,80,55,45
1400000US26087336500,26087336500,"Census Tract 3365, Lapeer County, Michigan",0,109,0,109,0,109,0,109,0,109,0,109,0,109,0,109,0,109,0,109,0,109
1400000US26087337000,26087337000,"Census Tract 3370, Lapeer County, Michigan",918,136,103,78,34,36,51,55,113,49,83,72,188,92,81,60,17,19,232,87,16,19
1400000US26087337500,26087337500,"Census Tract 3375, Lapeer County, Michigan",749,163,78,72,55,53,101,70,0,109,100,91,45,51,89,87,70,65,186,87,25,29
1400000US26087338000,26087338000,"Census Tract 3380, Lapeer County, Michigan",188,97,7,11,14,24,0,109,10,15,17,24,23,37,0,109,44,47,57,63,16,21
1400000US26087338500,26087338500,"Census Tract 3385, Lapeer County, Michigan",201,93,37,58,0,109,18,23,26,27,13,22,0,109,19,29,10,17,39,37,39,48
1400000US26087339000,26087339000,"Census Tract 3390, Lapeer County, Michigan",80,39,13,20,0,109,15,22,7,11,0,109,0,109,17,20,0,109,9,13,19,22
1400000US26087339500,26087339500,"Census Tract 3395, Lapeer County, Michigan",492,89,0,109,65,52,34,43,35,30,26,25,107,69,9,14,15,21,126,52,75,50
1400000US26087340000,26087340000,"Census Tract 3400, Lapeer County, Michigan",51,37,0,109,0,109,0,109,0,109,10,15,0,109,11,16,0,109,7,13,23,27
1400000US26087340500,26087340500,"Census Tract 3405, Lapeer County, Michigan",216,75,23,37,0,109,8,12,33,25,36,38,0,109,30,33,27,31,53,39,6,9
1400000US26087341000,26087341000,"Census Tract 3410, Lapeer County, Michigan",112,58,4,7,15,21,31,39,0,109,4,6,4,6,0,109,16,20,25,25,13,17
1400000US26087341500,26087341500,"Census Tract 3415, Lapeer County, Michigan",228,109,3,6,12,19,11,16,0,109,81,79,2,5,0,109,12,14,92,74,15,20
1400000US26087342000,26087342000,"Census Tract 3420, Lapeer County, Michigan",96,59,0,109,0,109,0,109,0,109,0,109,0,109,0,109,22,32,27,29,47,42
1400000US26087342100,26087342100,"Census Tract 3421, Lapeer County, Michigan",90,46,0,109,0,109,12,19,0,109,18,28,0,109,10,15,0,109,11,18,39,36
1400000US26093710100,26093710100,"Census Tract 7101, Livingston County, Michigan",82,67,0,109,0,109,49,64,0,109,0,109,16,21,0,109,8,13,0,109,9,14
1400000US26093710300,26093710300,"Census Tract 7103, Livingston County, Michigan",189,88,0,109,8,13,42,33,0,109,29,40,23,27,0,109,11,17,46,56,30,28
1400000US26093710500,26093710500,"Census Tract 7105, Livingston County, Michigan",31,46,0,109,0,109,0,109,0,109,0,109,0,109,0,109,0,109,31,46,0,109
1400000US26093710700,26093710700,"Census Tract 7107, Livingston County, Michigan",31,29,9,16,0,109,12,20,0,109,0,109,0,109,0,109,0,109,0,109,10,16
1400000US26093711000,26093711000,"Census Tract 7110, Livingston County, Michigan",91,65,0,109,0,109,35,55,0,109,24,35,0,109,0,109,0,109,19,28,13,20
1400000US26093712101,26093712101,"Census Tract 7121.01, Livingston County, Michigan",79,46,0,109,20,23,0,109,0,109,0,109,59,47,0,109,0,109,0,109,0,109
1400000US26093712102,26093712102,"Census Tract 7121.02, Livingston County, Michigan",20,23,0,109,0,109,0,109,0,109,0,109,0,109,0,109,11,17,9,14,0,109
1400000US26093712601,26093712601,"Census Tract 7126.01, Livingston County, Michigan",9,15,0,109,0,109,0,109,0,109,0,109,0,109,0,109,0,109,0,109,9,15
1400000US26093712602,26093712602,"Census Tract 7126.02, Livingston County, Michigan",51,48,0,109,0,109,0,109,0,109,0,109,0,109,0,109,0,109,0,109,51,48
1400000US26093713100,26093713100,"Census Tract 7131, Livingston County, Michigan",56,30,0,109,7,13,11,17,0,109,0,109,12,11,0,109,0,109,8,13,18,21
1400000US26093713300,26093713300,"Census Tract 7133, Livingston County, Michigan",30,24,0,109,0,109,0,109,12,19,9,14,0,109,0,109,0,109,9,15,0,109
1400000US26093713500,26093713500,"Census Tract 7135, Livingston County, Michigan",105,57,8,13,8,12,10,16,16,21,0,109,16,26,0,109,0,109,10,16,37,48
1400000US26093713700,26093713700,"Census Tract 7137, Livingston County, Michigan",335,78,24,25,37,38,32,29,74,54,22,25,91,80,0,109,41,37,14,22,0,109
1400000US26093720100,26093720100,"Census Tract 7201, Livingston County, Michigan",98,55,0,109,8,12,0,109,14,22,0,109,13,21,8,12,0,109,17,19,38,35
1400000US26093721100,26093721100,"Census Tract 7211, Livingston County, Michigan",84,45,0,109,12,19,15,20,0,109,0,109,0,109,0,109,8,12,8,11,41,39
1400000US26093722100,26093722100,"Census Tract 7221, Livingston County, Michigan",56,36,0,109,0,109,0,109,0,109,0,109,10,16,0,109,0,109,46,32,0,109
1400000US26093722300,26093722300,"Census Tract 7223, Livingston County, Michigan",447,130,27,43,15,23,76,66,20,23,122,96,102,89,0,109,11,19,60,43,14,19
1400000US26093722500,26093722500,"Census Tract 7225, Livingston County, Michigan",75,56,0,109,0,109,39,55,7,12,12,22,0,109,8,14,0,109,0,109,9,14
1400000US26093724001,26093724001,"Census Tract 7240.01, Livingston County, Michigan",72,66,0,109,0,109,0,109,41,58,0,109,13,25,0,109,0,109,18,25,0,109
1400000US26093724002,26093724002,"Census Tract 7240.02, Livingston County, Michigan",72,51,18,28,22,32,0,109,0,109,0,109,0,109,0,109,0,109,14,25,18,29
1400000US26093724003,26093724003,"Census Tract 7240.03, Livingston County, Michigan",46,42,0,109,11,17,0,109,0,109,0,109,18,29,0,109,0,109,0,109,17,27
1400000US26093725000,26093725000,"Census Tract 7250, Livingston County, Michigan",1057,176,11,18,119,67,65,63,196,103,136,86,142,96,29,28,62,44,247,109,50,64
1400000US26093725100,26093725100,"Census Tract 7251, Livingston County, Michigan",595,121,0,109,59,48,89,59,52,38,34,40,136,87,55,35,12,19,153,86,5,8
1400000US26093730101,26093730101,"Census Tract 7301.01, Livingston County, Michigan",17,28,0,109,0,109,17,28,0,109,0,109,0,109,0,109,0,109,0,109,0,109
1400000US26093730102,26093730102,"Census Tract 7301.02, Livingston County, Michigan",132,96,0,109,29,42,60,60,0,109,0,109,0,109,0,109,0,109,43,64,0,109
1400000US26093730600,26093730600,"Census Tract 7306, Livingston County, Michigan",36,42,0,109,0,109,0,109,0,109,0,109,0,109,27,40,0,109,0,109,9,14
1400000US26093731100,26093731100,"Census Tract 7311, Livingston County, Michigan",118,63,0,109,0,109,7,10,0,109,0,109,0,109,0,109,7,10,92,58,12,18
1400000US26093732100,26093732100,"Census Tract 7321, Livingston County, Michigan",116,61,0,109,0,109,12,20,27,39,0,109,11,17,0,109,0,109,34,29,32,24
1400000US26093733100,26093733100,"Census Tract 7331, Livingston County, Michigan",70,50,23,35,0,109,23,36,0,109,10,15,0,109,0,109,0,109,14,17,0,109
1400000US26093733601,26093733601,"Census Tract 7336.01, Livingston County, Michigan",96,62,0,109,9,19,37,44,0,109,0,109,0,109,0,109,0,109,0,109,50,45
1400000US26093733602,26093733602,"Census Tract 7336.02, Livingston County, Michigan",218,67,6,9,3,5,55,56,22,21,35,46,26,25,0,109,13,15,58,35,0,109
1400000US26093740200,26093740200,"Census Tract 7402, Livingston County, Michigan",80,77,22,35,0,109,0,109,48,72,0,109,10,17,0,109,0,109,0,109,0,109
1400000US26093740300,26093740300,"Census Tract 7403, Livingston County, Michigan",6,11,0,109,0,109,6,11,0,109,0,109,0,109,0,109,0,109,0,109,0,109
1400000US26093740500,26093740500,"Census Tract 7405, Livingston County, Michigan",182,84,0,109,0,109,43,69,0,109,0,109,0,109,17,29,21,38,89,69,12,18
1400000US26093740600,26093740600,"Census Tract 7406, Livingston County, Michigan",9,15,0,109,0,109,9,15,0,109,0,109,0,109,0,109,0,109,0,109,0,109
1400000US26093740700,26093740700,"Census Tract 7407, Livingston County, Michigan",0,109,0,109,0,109,0,109,0,109,0,109,0,109,0,109,0,109,0,109,0,109
1400000US26093740800,26093740800,"Census Tract 7408, Livingston County, Michigan",34,46,0,109,29,47,5,9,0,109,0,109,0,109,0,109,0,109,0,109,0,109
1400000US26093740900,26093740900,"Census Tract 7409, Livingston County, Michigan",64,50,0,109,7,11,0,109,28,45,0,109,0,109,0,109,0,109,19,21,10,15
1400000US26093741100,26093741100,"Census Tract 7411, Livingston County, Michigan",736,137,24,27,37,28,114,60,93,69,58,41,66,47,38,32,58,53,248,115,0,109
1400000US26093741601,26093741601,"Census Tract 7416.01, Livingston County, Michigan",483,139,0,109,0,109,55,65,45,46,9,17,69,75,77,72,43,48,185,97,0,109
1400000US26093741602,26093741602,"Census Tract 7416.02, Livingston County, Michigan",74,52,0,109,24,28,0,109,15,25,0,109,19,29,0,109,16,26,0,109,0,109
1400000US26093742201,26093742201,"Census Tract 7422.01, Livingston County, Michigan",126,66,17,19,15,22,19,28,0,109,0,109,0,109,0,109,35,41,27,30,13,20
