GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
1400000US48039660100,48039660100,"Census Tract 6601, Brazoria County, Texas",97,49,6,9,0,127,40,38,20,16,0,127,0,127,0,127,0,127,12,18,19,20
1400000US48039660200,48039660200,"Census Tract 6602, Brazoria County, Texas",432,128,0,127,109,79,69,56,40,45,53,51,24,35,0,127,0,127,76,70,61,66
1400000US48039660300,48039660300,"Census Tract 6603, Brazoria County, Texas",731,162,53,62,126,78,59,46,176,116,50,46,29,36,23,27,35,39,128,85,52,84
1400000US48039660400,48039660400,"Census Tract 6604, Brazoria County, Texas",1080,208,19,30,103,65,38,53,217,108,196,118,215,144,82,68,20,31,89,87,101,84
1400000US48039660500,48039660500,"Census Tract 6605, Brazoria County, Texas",443,140,9,13,21,24,73,64,142,89,46,33,15,18,0,127,69,64,56,47,12,14
1400000US48039660600,48039660600,"Census Tract 6606, Brazoria County, Texas",787,231,11,17,169,140,67,65,59,52,44,60,0,127,153,108,11,18,210,119,63,51
1400000US48039660700,48039660700,"Census Tract 6607, Brazoria County, Texas",1463,269,71,81,142,89,228,111,143,98,110,66,249,140,105,93,35,36,380,169,0,127
1400000US48039660800,48039660800,"Census Tract 6608, Brazoria County, Texas",500,152,0,127,21,32,122,95,61,78,36,58,59,48,25,29,53,43,106,85,17,28
1400000US48039660900,48039660900,"Census Tract 6609, Brazoria County, Texas",736,173,57,68,91,65,51,49,111,98,90,88,16,26,24,40,69,78,158,101,69,72
1400000US48039661000,48039661000,"Census Tract 6610, Brazoria County, Texas",576,199,0,127,109,83,121,109,14,25,12,20,28,45,86,94,0,127,120,107,86,92
1400000US48039661100,48039661100,"Census Tract 6611, Brazoria County, Texas",253,87,24,38,28,33,0,127,51,54,58,56,9,14,0,127,10,16,73,60,0,127
1400000US48039661200,48039661200,"Census Tract 6612, Brazoria County, Texas",981,133,0,127,111,58,163,87,100,65,46,42,89,60,173,92,79,56,220,97,0,127
1400000US48039661300,48039661300,"Census Tract 6613, Brazoria County, Texas",401,113,0,127,60,47,69,59,100,72,28,32,12,21,39,48,67,61,26,27,0,127
1400000US48039661400,48039661400,"Census Tract 6614, Brazoria County, Texas",734,198,55,63,61,45,143,118,86,60,49,46,17,27,59,70,32,34,214,132,18,30
1400000US48039661500,48039661500,"Census Tract 6615, Brazoria County, Texas",739,221,23,37,42,63,32,39,78,86,91,121,173,137,38,57,62,50,163,101,37,31
1400000US48039661600,48039661600,"Census Tract 6616, Brazoria County, Texas",1048,184,0,127,91,92,228,148,102,128,169,117,42,33,35,42,85,76,202,118,94,82
1400000US48039661700,48039661700,"Census Tract 6617, Brazoria County, Texas",231,88,5,6,31,43,29,38,29,39,11,14,2,4,6,10,7,10,24,38,87,64
1400000US48039661800,48039661800,"Census Tract 6618, Brazoria County, Texas",295,137,44,48,39,56,2,4,14,23,0,127,0,127,0,127,14,20,54,70,128,96
