GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
1400000US06037101110,06037101110,"Census Tract 1011.10, Los Angeles County, California",809,118,0,132,18,21,191,95,21,25,115,61,67,56,125,82,71,43,182,70,19,22
1400000US06037101120,06037101120,"Census Tract 1011.20, Los Angeles County, California",136,83,0,132,0,132,39,61,13,21,0,132,60,49,11,18,5,10,0,132,8,14
1400000US06037101210,06037101210,"Census Tract 1012.10, Los Angeles County, California",1798,171,65,64,84,71,133,123,204,120,175,120,167,145,193,135,143,104,545,176,89,60
1400000US06037101220,06037101220,"Census Tract 1012.20, Los Angeles County, California",721,116,8,16,38,49,146,77,108,57,75,64,10,17,32,48,101,71,180,91,23,36
1400000US06037101300,06037101300,"Census Tract 1013, Los Angeles County, California",161,74,0,132,0,132,0,132,0,132,42,40,12,19,14,18,16,19,34,39,43,39
1400000US06037101400,06037101400,"Census Tract 1014, Los Angeles County, California",365,115,9,14,0,132,0,132,56,55,53,67,37,58,59,65,85,55,66,50,0,132
1400000US06037102101,06037102101,"Census Tract 1021.01, Los Angeles County, California",248,74,0,132,15,27,26,30,8,14,48,56,53,80,9,17,9,14,56,44,24,23
1400000US06037102102,06037102102,"Census Tract 1021.02, Los Angeles County, California",452,157,54,85,47,75,25,29,32,37,10,18,90,92,9,15,12,20,123,79,50,42
1400000US06037103101,06037103101,"Census Tract 1031.01, Los Angeles County, California",95,54,0,132,0,132,0,132,7,10,12,20,24,38,0,132,15,24,37,35,0,132
1400000US06037103102,06037103102,"Census Tract 1031.02, Los Angeles County, California",437,109,0,132,47,62,50,46,63,52,34,33,11,18,24,26,49,52,131,60,28,27
1400000US06037103200,06037103200,"Census Tract 1032, Los Angeles County, California",796,152,67,75,89,76,70,78,83,62,10,16,98,78,29,35,224,95,88,66,38,58
1400000US06037103300,06037103300,"Census Tract 1033, Los Angeles County, California",197,81,0,132,42,35,17,24,13,22,0,132,38,44,0,132,19,31,37,36,31,25
1400000US06037103400,06037103400,"Census Tract 1034, Los Angeles County, California",639,148,0,132,10,17,0,132,117,115,77,64,97,101,40,60,14,23,265,128,19,29
1400000US06037104103,06037104103,"Census Tract 1041.03, Los Angeles County, California",55,45,0,132,0,132,0,132,10,16,8,13,7,13,0,132,10,17,20,33,0,132
1400000US06037104104,06037104104,"Census Tract 1041.04, Los Angeles County, California",172,99,0,132,0,132,7,14,9,15,18,16,0,132,0,132,62,88,71,68,5,11
1400000US06037104105,06037104105,"Census Tract 1041.05, Los Angeles County, California",765,120,0,132,10,17,99,62,59,60,143,91,145,91,58,42,100,81,117,71,34,43
1400000US06037104106,06037104106,"Census Tract 1041.06, Los Angeles County, California",730,122,37,48,8,13,50,55,114,79,188,121,38,43,8,12,47,42,200,101,40,44
1400000US06037104107,06037104107,"Census Tract 1041.07, Los Angeles County, California",63,65,0,132,0,132,0,132,38,61,0,132,0,132,0,132,0,132,25,26,0,132
1400000US06037104201,06037104201,"Census Tract 1042.01, Los Angeles County, California",257,93,32,51,26,41,39,48,20,30,37,39,0,132,24,38,0,132,48,39,31,38
1400000US06037104202,06037104202,"Census Tract 1042.02, Los Angeles County, California",627,141,38,44,23,28,0,132,151,98,66,70,32,40,24,30,86,64,188,70,19,31
1400000US06037104310,06037104310,"Census Tract 1043.10, Los Angeles County, California",118,67,0,132,0,132,0,132,45,51,11,17,0,132,29,29,0,132,33,48,0,132
1400000US06037104320,06037104320,"Census Tract 1043.20, Los Angeles County, California",414,118,0,132,0,132,25,31,54,51,77,56,68,61,9,16,59,51,122,69,0,132
1400000US06037104401,06037104401,"Census Tract 1044.01, Los Angeles County, California",255,79,0,132,40,45,22,28,38,54,12,22,55,61,0,132,63,46,10,16,15,20
1400000US06037104402,06037104402,"Census Tract 1044.02, Los Angeles County, California",499,135,0,132,56,60,94,80,40,51,86,67,33,32,0,132,66,49,113,64,11,17
1400000US06037104500,06037104500,"Census Tract 1045, Los Angeles County, California",303,86,0,132,6,11,28,43,25,29,65,59,0,132,45,34,9,14,113,59,12,18
1400000US06037104610,06037104610,"Census Tract 1046.10, Los Angeles County, California",238,97,0,132,0,132,14,22,38,58,29,32,0,132,15,24,10,17,113,67,19,27
1400000US06037104620,06037104620,"Census Tract 1046.20, Los Angeles County, California",229,69,0,132,8,14,12,20,8,15,49,48,0,132,5,8,31,35,116,69,0,132
1400000US06037104701,06037104701,"Census Tract 1047.01, Los Angeles County, California",667,88,36,37,37,42,0,132,78,56,86,65,98,67,145,89,36,44,137,73,14,24
1400000US06037104702,06037104702,"Census Tract 1047.02, Los Angeles County, California",773,131,0,132,69,56,54,45,115,73,44,43,122,103,68,51,77,52,219,96,5,9
1400000US06037104810,06037104810,"Census Tract 1048.10, Los Angeles County, California",352,133,0,132,42,61,43,33,0,132,39,44,65,71,0,132,82,74,57,61,24,39
1400000US06037104820,06037104820,"Census Tract 1048.20, Los Angeles County, California",705,98,0,132,66,60,34,35,38,29,30,26,56,46,31,35,54,41,373,115,23,29
1400000US06037106010,06037106010,"Census Tract 1060.10, Los Angeles County, California",386,89,0,132,32,50,78,56,29,26,36,41,49,39,40,48,0,132,122,80,0,132
1400000US06037106020,06037106020,"Census Tract 1060.20, Los Angeles County, California",288,98,0,132,12,19,30,38,7,11,7,12,5,9,28,44,70,57,121,71,8,12
1400000US06037106111,06037106111,"Census Tract 1061.11, Los Angeles County, California",233,96,0,132,9,14,0,132,32,40,0,132,30,37,0,132,64,34,65,47,33,53
1400000US06037106112,06037106112,"Census Tract 1061.12, Los Angeles County, California",135,62,12,18,11,20,10,16,0,132,0,132,25,41,10,15,0,132,56,40,11,17
1400000US06037106113,06037106113,"Census Tract 1061.13, Los Angeles County, California",111,53,0,132,0,132,0,132,11,22,14,21,11,20,0,132,0,132,75,56,0,132
1400000US06037106114,06037106114,"Census Tract 1061.14, Los Angeles County, California",686,138,12,20,0,132,69,63,104,64,69,42,46,43,15,23,95,78,259,109,17,26
1400000US06037106402,06037106402,"Census Tract 1064.02, Los Angeles County, California",446,169,0,132,0,132,79,87,10,28,94,81,0,132,94,95,16,26,153,118,0,132
1400000US06037106403,06037106403,"Census Tract 1064.03, Los Angeles County, California",119,71,0,132,0,132,0,132,0,132,11,18,10,23,0,132,16,26,67,60,15,24
1400000US06037106404,06037106404,"Census Tract 1064.04, Los Angeles County, California",937,106,18,29,11,18,44,41,93,52,156,68,120,70,100,73,119,70,235,94,41,39
1400000US06037106510,06037106510,"Census Tract 1065.10, Los Angeles County, California",231,91,0,132,11,20,37,52,46,41,30,46,0,132,30,44,8,14,69,72,0,132
1400000US06037106520,06037106520,"Census Tract 1065.20, Los Angeles County, California",362,122,8,13,11,18,0,132,0,132,54,68,51,65,25,38,0,132,178,101,35,55
1400000US06037106602,06037106602,"Census Tract 1066.02, Los Angeles County, California",125,54,0,132,13,20,35,32,42,38,0,132,0,132,0,132,13,21,8,15,14,24
1400000US06037106603,06037106603,"Census Tract 1066.03, Los Angeles County, California",0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132
1400000US06037106604,06037106604,"Census Tract 1066.04, Los Angeles County, California",611,138,0,132,36,34,75,60,137,95,26,40,29,45,49,52,107,90,152,92,0,132
1400000US06037106605,06037106605,"Census Tract 1066.05, Los Angeles County, California",445,108,0,132,19,21,0,132,12,18,90,72,0,132,0,132,143,85,181,90,0,132
1400000US06037106606,06037106606,"Census Tract 1066.06, Los Angeles County, California",0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132
1400000US06037106641,06037106641,"Census Tract 1066.41, Los Angeles County, California",64,44,0,132,0,132,25,29,0,132,0,132,0,132,0,132,0,132,0,132,39,38
1400000US06037106642,06037106642,"Census Tract 1066.42, Los Angeles County, California",76,72,4,7,21,33,0,132,0,132,0,132,0,132,0,132,0,132,51,52,0,132
1400000US06037106643,06037106643,"Census Tract 1066.43, Los Angeles County, California",52,53,0,132,0,132,28,39,0,132,0,132,11,17,0,132,0,132,13,21,0,132
