GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
1400000US12061050100,12061050100,"Census Tract 501, Indian River County, Florida",949,204,17,27,27,30,36,40,189,96,71,58,136,76,64,85,81,60,242,146,86,60
1400000US12061050200,12061050200,"Census Tract 502, Indian River County, Florida",440,147,0,104,20,25,10,16,39,40,48,50,37,56,19,23,53,70,185,96,29,26
1400000US12061050301,12061050301,"Census Tract 503.01, Indian River County, Florida",726,138,16,25,50,41,49,48,72,58,58,58,57,49,77,63,66,42,238,80,43,43
1400000US12061050302,12061050302,"Census Tract 503.02, Indian River County, Florida",1102,230,0,104,70,78,80,73,89,84,130,102,28,30,61,64,158,106,297,123,189,134
1400000US12061050401,12061050401,"Census Tract 504.01, Indian River County, Florida",1162,179,0,104,0,104,14,21,45,39,129,89,171,79,40,36,166,110,585,177,12,18
1400000US12061050402,12061050402,"Census Tract 504.02, Indian River County, Florida",316,147,0,104,33,40,20,30,37,41,16,25,14,23,17,27,24,31,155,110,0,104
1400000US12061050501,12061050501,"Census Tract 505.01, Indian River County, Florida",78,54,18,27,0,104,0,104,0,104,0,104,0,104,0,104,0,104,21,27,39,41
1400000US12061050503,12061050503,"Census Tract 505.03, Indian River County, Florida",188,108,0,104,46,59,0,104,0,104,11,17,0,104,0,104,14,24,82,84,35,51
1400000US12061050504,12061050504,"Census Tract 505.04, Indian River County, Florida",105,72,0,104,0,104,0,104,0,104,12,22,0,104,11,18,0,104,57,66,25,36
1400000US12061050505,12061050505,"Census Tract 505.05, Indian River County, Florida",135,98,0,104,13,21,0,104,38,59,10,16,9,17,42,66,0,104,23,34,0,104
1400000US12061050601,12061050601,"Census Tract 506.01, Indian River County, Florida",506,102,0,104,14,17,31,40,25,24,53,40,51,41,56,50,91,56,156,62,29,25
1400000US12061050602,12061050602,"Census Tract 506.02, Indian River County, Florida",465,142,29,45,21,23,6,12,36,33,15,18,0,104,31,33,52,46,257,127,18,24
1400000US12061050603,12061050603,"Census Tract 506.03, Indian River County, Florida",302,103,0,104,0,104,12,20,25,29,0,104,16,24,57,45,33,33,148,80,11,17
1400000US12061050604,12061050604,"Census Tract 506.04, Indian River County, Florida",163,67,0,104,0,104,23,25,10,17,30,29,13,20,0,104,11,17,66,40,10,15
1400000US12061050605,12061050605,"Census Tract 506.05, Indian River County, Florida",99,80,7,12,0,104,0,104,10,15,0,104,45,72,11,18,16,28,0,104,10,15
1400000US12061050606,12061050606,"Census Tract 506.06, Indian River County, Florida",1077,239,0,104,98,96,119,99,86,74,195,143,85,83,83,65,19,24,352,147,40,49
1400000US12061050702,12061050702,"Census Tract 507.02, Indian River County, Florida",255,95,0,104,0,104,10,16,49,49,48,62,23,29,11,16,9,14,97,67,8,12
1400000US12061050703,12061050703,"Census Tract 507.03, Indian River County, Florida",326,132,0,104,106,104,63,51,69,73,11,19,0,104,40,36,0,104,0,104,37,57
1400000US12061050704,12061050704,"Census Tract 507.04, Indian River County, Florida",519,142,0,104,17,31,12,20,109,86,51,66,32,48,38,43,83,53,167,83,10,19
1400000US12061050705,12061050705,"Census Tract 507.05, Indian River County, Florida",933,191,10,15,57,44,56,52,54,49,110,92,129,78,17,20,248,137,183,98,69,53
1400000US12061050802,12061050802,"Census Tract 508.02, Indian River County, Florida",404,170,0,104,0,104,0,104,153,96,48,73,60,53,61,64,0,104,49,41,33,37
1400000US12061050804,12061050804,"Census Tract 508.04, Indian River County, Florida",361,139,0,104,0,104,58,48,48,38,95,102,19,22,33,55,33,37,54,59,21,26
1400000US12061050805,12061050805,"Census Tract 508.05, Indian River County, Florida",264,117,15,25,18,32,30,48,73,47,9,17,11,19,0,104,59,74,21,32,28,28
1400000US12061050806,12061050806,"Census Tract 508.06, Indian River County, Florida",446,154,0,104,0,104,0,104,33,37,36,33,143,112,36,34,84,79,74,67,40,36
1400000US12061050807,12061050807,"Census Tract 508.07, Indian River County, Florida",355,152,0,104,7,12,0,104,41,68,0,104,60,70,80,81,67,63,76,68,24,27
1400000US12061050808,12061050808,"Census Tract 508.08, Indian River County, Florida",495,114,0,104,12,19,62,61,0,104,79,69,17,27,22,26,103,67,184,108,16,26
1400000US12061050902,12061050902,"Census Tract 509.02, Indian River County, Florida",338,120,0,104,30,28,43,46,49,42,54,60,19,22,0,104,11,17,69,46,63,70
1400000US12061050903,12061050903,"Census Tract 509.03, Indian River County, Florida",468,175,0,104,22,33,62,62,61,48,46,73,64,71,0,104,39,60,174,112,0,104
1400000US12061050904,12061050904,"Census Tract 509.04, Indian River County, Florida",646,151,23,27,33,31,48,50,82,65,131,106,135,103,9,15,83,67,59,49,43,35
1400000US12061980000,12061980000,"Census Tract 9800, Indian River County, Florida",0,104,0,104,0,104,0,104,0,104,0,104,0,104,0,104,0,104,0,104,0,104
1400000US12061990000,12061990000,"Census Tract 9900, Indian River County, Florida",0,104,0,104,0,104,0,104,0,104,0,104,0,104,0,104,0,104,0,104,0,104
1400000US12085000100,12085000100,"Census Tract 1, Martin County, Florida",65,35,8,12,10,16,2,5,5,8,0,104,10,15,0,104,0,104,7,10,23,21
1400000US12085000200,12085000200,"Census Tract 2, Martin County, Florida",294,107,0,104,13,19,40,35,44,45,47,47,17,20,32,32,11,17,83,61,7,12
1400000US12085000300,12085000300,"Census Tract 3, Martin County, Florida",937,170,13,21,0,104,134,73,204,126,109,91,93,72,121,102,65,65,198,102,0,104
1400000US12085000400,12085000400,"Census Tract 4, Martin County, Florida",713,147,31,34,29,44,13,22,41,43,179,100,20,24,58,53,56,65,203,108,83,87
1400000US12085000501,12085000501,"Census Tract 5.01, Martin County, Florida",840,168,0,104,135,114,37,36,45,51,80,74,89,57,18,20,71,64,325,126,40,37
1400000US12085000502,12085000502,"Census Tract 5.02, Martin County, Florida",35,20,0,104,0,104,0,104,0,104,12,15,6,8,0,104,0,104,0,104,17,13
1400000US12085000603,12085000603,"Census Tract 6.03, Martin County, Florida",456,164,0,104,21,24,97,79,72,68,60,69,47,47,31,28,23,31,93,90,12,18
1400000US12085000604,12085000604,"Census Tract 6.04, Martin County, Florida",31,48,0,104,31,48,0,104,0,104,0,104,0,104,0,104,0,104,0,104,0,104
1400000US12085000606,12085000606,"Census Tract 6.06, Martin County, Florida",250,105,0,104,0,104,34,53,61,57,38,58,6,10,0,104,0,104,91,77,20,33
1400000US12085000607,12085000607,"Census Tract 6.07, Martin County, Florida",94,56,30,47,0,104,13,21,0,104,0,104,0,104,0,104,10,15,13,21,28,41
1400000US12085000610,12085000610,"Census Tract 6.10, Martin County, Florida",292,123,0,104,115,93,0,104,23,34,27,42,20,31,22,34,17,28,49,52,19,29
1400000US12085000700,12085000700,"Census Tract 7, Martin County, Florida",585,188,16,25,55,70,31,50,80,76,0,104,75,67,47,78,30,28,118,64,133,127
1400000US12085000800,12085000800,"Census Tract 8, Martin County, Florida",303,88,30,37,73,49,36,36,14,22,11,21,15,15,0,104,0,104,109,67,15,20
1400000US12085000901,12085000901,"Census Tract 9.01, Martin County, Florida",234,135,17,27,21,34,17,27,32,49,31,34,16,28,0,104,0,104,100,113,0,104
1400000US12085000902,12085000902,"Census Tract 9.02, Martin County, Florida",537,174,0,104,18,29,26,30,65,55,43,42,44,53,89,90,47,60,205,111,0,104
1400000US12085001000,12085001000,"Census Tract 10, Martin County, Florida",1308,236,22,25,108,64,59,56,174,108,192,114,210,92,109,82,123,74,282,124,29,38
1400000US12085001102,12085001102,"Census Tract 11.02, Martin County, Florida",291,138,0,104,28,32,0,104,0,104,43,70,53,80,14,22,93,71,0,104,60,58
1400000US12085001103,12085001103,"Census Tract 11.03, Martin County, Florida",167,92,0,104,17,26,0,104,39,53,8,12,0,104,22,34,0,104,65,70,16,26
1400000US12085001104,12085001104,"Census Tract 11.04, Martin County, Florida",691,175,0,104,35,53,68,53,165,110,105,68,34,40,18,20,79,61,158,102,29,38
1400000US12085001200,12085001200,"Census Tract 12, Martin County, Florida",502,92,26,34,14,22,75,56,95,76,60,39,85,63,51,43,20,25,46,45,30,31
1400000US12085001301,12085001301,"Census Tract 13.01, Martin County, Florida",560,147,0,104,55,70,59,68,36,57,34,40,52,68,151,89,45,68,111,60,17,26
1400000US12085001302,12085001302,"Census Tract 13.02, Martin County, Florida",252,129,0,104,0,104,13,22,48,58,12,20,38,61,41,63,46,72,32,35,22,25
1400000US12085001404,12085001404,"Census Tract 14.04, Martin County, Florida",451,134,0,104,36,43,15,24,39,39,114,91,51,45,0,104,23,27,92,59,81,59
1400000US12085001406,12085001406,"Census Tract 14.06, Martin County, Florida",132,80,0,104,6,10,9,16,7,13,0,104,0,104,14,21,56,60,0,104,40,49
1400000US12085001407,12085001407,"Census Tract 14.07, Martin County, Florida",129,74,0,104,0,104,19,21,34,35,0,104,0,104,0,104,14,23,47,49,15,24
1400000US12085001408,12085001408,"Census Tract 14.08, Martin County, Florida",604,164,8,13,43,49,117,105,62,66,57,43,70,78,0,104,43,41,105,76,99,77
1400000US12085001409,12085001409,"Census Tract 14.09, Martin County, Florida",250,121,0,104,31,49,0,104,0,104,10,16,29,44,45,71,89,70,46,33,0,104
1400000US12085001410,12085001410,"Census Tract 14.10, Martin County, Florida",440,134,19,30,0,104,49,46,46,44,58,48,17,28,49,39,29,42,92,66,81,78
1400000US12085001500,12085001500,"Census Tract 15, Martin County, Florida",35,22,0,104,0,104,0,104,0,104,14,19,18,21,0,104,3,6,0,104,0,104
1400000US12085001601,12085001601,"Census Tract 16.01, Martin County, Florida",135,84,12,19,35,56,0,104,13,19,0,104,18,29,12,21,15,26,30,36,0,104
1400000US12085001602,12085001602,"Census Tract 16.02, Martin County, Florida",0,104,0,104,0,104,0,104,0,104,0,104,0,104,0,104,0,104,0,104,0,104
1400000US12085001700,12085001700,"Census Tract 17, Martin County, Florida",326,147,44,61,17,27,40,37,0,104,0,104,109,104,0,104,74,74,23,28,19,31
