GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
1400000US36005000100,36005000100,"Census Tract 1, Bronx County, New York",0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
1400000US36005000200,36005000200,"Census Tract 2, Bronx County, New York",683,124,10,17,32,39,83,58,130,72,19,31,19,30,16,18,25,29,294,82,55,50
1400000US36005000400,36005000400,"Census Tract 4, Bronx County, New York",518,115,0,16,0,16,31,37,76,62,72,64,13,25,33,32,19,30,196,94,78,62
1400000US36005001600,36005001600,"Census Tract 16, Bronx County, New York",1618,107,86,51,142,73,77,58,201,83,255,108,116,65,143,73,110,72,454,121,34,27
1400000US36005001900,36005001900,"Census Tract 19, Bronx County, New York",816,59,0,11,26,24,106,48,56,34,71,36,134,55,66,32,87,44,205,62,65,36
1400000US36005002000,36005002000,"Census Tract 20, Bronx County, New York",2477,221,53,62,36,44,178,116,222,121,361,172,273,138,114,77,211,119,918,196,111,90
1400000US36005002300,36005002300,"Census Tract 23, Bronx County, New York",1919,80,110,77,88,68,174,85,187,97,237,89,415,131,211,84,81,65,292,100,124,70
1400000US36005002400,36005002400,"Census Tract 24, Bronx County, New York",30,43,0,11,0,11,30,43,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36005002500,36005002500,"Census Tract 25, Bronx County, New York",1800,100,111,69,103,58,135,81,111,67,216,91,228,94,180,93,134,68,474,117,108,69
1400000US36005002701,36005002701,"Census Tract 27.01, Bronx County, New York",1102,38,47,42,76,42,107,55,96,52,145,61,166,74,28,27,120,65,257,86,60,52
1400000US36005002702,36005002702,"Census Tract 27.02, Bronx County, New York",1335,76,9,15,33,29,177,106,55,63,123,75,96,59,74,59,116,62,623,150,29,34
1400000US36005002800,36005002800,"Census Tract 28, Bronx County, New York",2003,172,70,80,359,169,291,126,226,112,287,176,140,94,140,88,177,102,297,125,16,24
1400000US36005003100,36005003100,"Census Tract 31, Bronx County, New York",408,52,5,9,32,26,46,28,92,51,31,23,41,25,0,11,60,41,101,46,0,11
1400000US36005003300,36005003300,"Census Tract 33, Bronx County, New York",1042,81,69,45,44,42,52,45,78,51,125,66,91,50,105,72,43,41,371,90,64,49
1400000US36005003500,36005003500,"Census Tract 35, Bronx County, New York",1227,77,7,12,117,75,200,87,168,84,77,48,109,63,127,63,20,33,330,98,72,58
1400000US36005003700,36005003700,"Census Tract 37, Bronx County, New York",118,40,0,11,8,8,0,11,18,14,0,11,34,25,12,19,0,11,46,27,0,11
1400000US36005003800,36005003800,"Census Tract 38, Bronx County, New York",221,50,15,23,0,11,11,18,24,24,18,16,38,30,23,21,6,9,75,40,11,18
1400000US36005003900,36005003900,"Census Tract 39, Bronx County, New York",1791,150,130,85,51,44,155,96,75,51,147,87,224,98,166,82,196,103,619,161,28,34
1400000US36005004001,36005004001,"Census Tract 40.01, Bronx County, New York",254,49,12,18,27,25,8,9,27,23,25,21,30,21,13,19,9,12,88,30,15,17
