GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
1400000US06001400100,06001400100,"Census Tract 4001, Alameda County, California",128,65,0,12,45,35,37,48,8,13,6,11,0,12,17,19,0,12,15,18,0,12
1400000US06001400200,06001400200,"Census Tract 4002, Alameda County, California",282,51,29,21,58,31,78,29,21,16,49,26,3,5,22,17,16,15,6,9,0,12
1400000US06001400300,06001400300,"Census Tract 4003, Alameda County, California",1303,173,12,21,91,58,214,94,205,82,212,128,153,101,119,105,15,23,190,99,92,69
1400000US06001400400,06001400400,"Census Tract 4004, Alameda County, California",1090,127,43,34,136,63,234,78,170,70,67,43,99,58,46,37,101,60,179,59,15,17
1400000US06001400500,06001400500,"Census Tract 4005, Alameda County, California",1034,87,8,13,125,66,202,83,204,86,82,48,100,56,86,66,35,27,178,69,14,16
1400000US06001400600,06001400600,"Census Tract 4006, Alameda County, California",394,54,29,25,0,12,42,23,58,26,26,29,20,17,18,17,37,34,133,50,31,23
1400000US06001400700,06001400700,"Census Tract 4007, Alameda County, California",1143,145,21,25,50,49,80,35,190,86,139,63,168,81,73,68,56,35,348,111,18,20
1400000US06001400800,06001400800,"Census Tract 4008, Alameda County, California",1008,132,41,28,64,37,83,58,161,85,129,89,81,57,44,50,97,69,256,95,52,42
1400000US06001400900,06001400900,"Census Tract 4009, Alameda County, California",720,93,25,21,65,42,107,53,91,54,65,38,61,51,15,17,38,33,238,74,15,16
1400000US06001401000,06001401000,"Census Tract 4010, Alameda County, California",1826,181,46,72,234,125,154,82,168,104,196,107,63,52,105,61,91,90,725,170,44,70
1400000US06001401100,06001401100,"Census Tract 4011, Alameda County, California",1500,182,16,24,188,95,251,104,233,92,213,121,88,64,91,76,82,57,283,114,55,56
1400000US06001401200,06001401200,"Census Tract 4012, Alameda County, California",794,93,65,42,97,47,107,54,135,72,143,71,43,29,19,20,37,48,140,51,8,15
1400000US06001401300,06001401300,"Census Tract 4013, Alameda County, California",1476,92,40,36,86,52,118,58,159,69,271,81,220,90,69,46,142,66,261,72,110,66
1400000US06001401400,06001401400,"Census Tract 4014, Alameda County, California",1317,113,57,53,41,41,157,79,136,70,95,56,60,53,47,34,133,74,521,116,70,54
1400000US06001401500,06001401500,"Census Tract 4015, Alameda County, California",655,81,42,31,9,14,51,41,98,49,53,31,72,37,43,27,52,33,205,64,30,32
1400000US06001401600,06001401600,"Census Tract 4016, Alameda County, California",611,65,0,12,46,32,39,35,79,50,56,36,34,26,53,33,29,25,260,76,15,14
1400000US06001401700,06001401700,"Census Tract 4017, Alameda County, California",626,109,16,19,44,37,92,56,91,68,84,53,26,38,15,20,32,37,196,89,30,39
1400000US06001401800,06001401800,"Census Tract 4018, Alameda County, California",563,68,23,24,79,54,23,25,54,33,28,21,18,15,32,33,52,33,210,82,44,40
1400000US06001402200,06001402200,"Census Tract 4022, Alameda County, California",539,76,11,14,36,29,36,26,22,21,90,40,59,38,44,26,33,27,208,60,0,12
1400000US06001402400,06001402400,"Census Tract 4024, Alameda County, California",958,93,31,40,65,64,120,59,37,34,177,75,86,52,33,29,148,69,208,82,53,46
1400000US06001402500,06001402500,"Census Tract 4025, Alameda County, California",602,62,48,33,29,25,51,38,37,26,132,60,60,31,30,21,32,22,156,49,27,23
1400000US06001402600,06001402600,"Census Tract 4026, Alameda County, California",553,45,20,21,35,20,47,28,55,25,131,41,89,43,19,16,34,26,103,43,20,20
1400000US06001402700,06001402700,"Census Tract 4027, Alameda County, California",599,58,79,49,19,18,68,38,96,40,62,42,77,46,9,14,13,13,161,64,15,24
1400000US06001402800,06001402800,"Census Tract 4028, Alameda County, California",2165,125,90,68,216,89,138,89,173,84,309,101,256,97,144,73,192,66,578,124,69,66
1400000US06001402900,06001402900,"Census Tract 4029, Alameda County, California",848,39,37,27,61,33,72,30,125,46,109,44,146,48,51,28,71,33,157,49,19,14
1400000US06001403000,06001403000,"Census Tract 4030, Alameda County, California",1261,131,29,36,46,36,153,86,65,55,210,87,169,93,66,64,63,43,390,105,70,49
1400000US06001403100,06001403100,"Census Tract 4031, Alameda County, California",516,54,45,30,55,35,57,30,43,31,33,27,9,11,44,31,62,35,122,44,46,42
1400000US06001403300,06001403300,"Census Tract 4033, Alameda County, California",1672,178,35,44,81,65,139,77,172,119,122,65,124,79,131,107,205,108,546,194,117,95
1400000US06001403400,06001403400,"Census Tract 4034, Alameda County, California",2470,161,111,87,171,116,306,112,359,134,284,111,331,137,65,52,240,104,515,157,88,58
1400000US06001403501,06001403501,"Census Tract 4035.01, Alameda County, California",2255,156,0,12,147,92,228,117,300,127,259,125,275,109,224,123,223,132,491,165,108,82
1400000US06001403502,06001403502,"Census Tract 4035.02, Alameda County, California",903,105,45,32,104,45,66,40,184,65,142,77,22,23,59,51,77,63,193,62,11,16
1400000US06001403600,06001403600,"Census Tract 4036, Alameda County, California",2140,132,88,82,181,103,347,140,491,170,338,126,57,46,109,69,155,113,313,167,61,46
1400000US06001403701,06001403701,"Census Tract 4037.01, Alameda County, California",1472,78,69,53,139,67,211,75,288,97,231,91,54,45,136,69,55,32,241,81,48,44
1400000US06001403702,06001403702,"Census Tract 4037.02, Alameda County, California",847,90,29,30,105,73,156,71,170,62,97,47,42,29,0,12,45,45,182,75,21,23
1400000US06001403800,06001403800,"Census Tract 4038, Alameda County, California",1221,107,22,21,186,69,243,82,164,65,89,57,169,85,25,22,66,54,204,72,53,48
1400000US06001403900,06001403900,"Census Tract 4039, Alameda County, California",1472,156,128,102,78,66,93,68,364,136,83,58,155,112,180,107,98,84,278,134,15,25
1400000US06001404000,06001404000,"Census Tract 4040, Alameda County, California",1161,125,9,13,153,64,249,84,162,61,200,78,76,56,57,45,67,67,133,54,55,51
1400000US06001404101,06001404101,"Census Tract 4041.01, Alameda County, California",1018,116,19,21,137,67,201,77,170,79,85,44,85,53,71,50,39,32,194,75,17,18
1400000US06001404102,06001404102,"Census Tract 4041.02, Alameda County, California",1261,89,134,69,178,68,222,94,176,65,94,42,131,60,73,53,38,30,199,70,16,18
1400000US06001404200,06001404200,"Census Tract 4042, Alameda County, California",283,75,21,23,23,26,38,31,75,50,28,42,23,26,18,20,0,12,27,22,30,24
1400000US06001404300,06001404300,"Census Tract 4043, Alameda County, California",228,76,48,34,22,21,35,31,38,35,18,21,23,36,0,12,8,13,15,19,21,33
1400000US06001404400,06001404400,"Census Tract 4044, Alameda County, California",338,133,0,17,14,19,29,34,132,91,64,75,39,43,12,20,16,25,19,31,13,20
1400000US06001404501,06001404501,"Census Tract 4045.01, Alameda County, California",94,37,6,8,0,12,11,12,18,15,22,22,8,11,0,12,0,12,18,21,11,12
1400000US06001404502,06001404502,"Census Tract 4045.02, Alameda County, California",282,134,0,17,12,19,37,64,18,27,0,17,24,44,12,17,96,101,29,40,54,45
1400000US06001404600,06001404600,"Census Tract 4046, Alameda County, California",140,65,0,12,26,23,9,13,16,19,22,34,37,32,9,14,0,12,13,21,8,12
1400000US06001404700,06001404700,"Census Tract 4047, Alameda County, California",74,37,0,12,11,12,11,12,31,33,0,12,5,7,0,12,0,12,16,16,0,12
1400000US06001404800,06001404800,"Census Tract 4048, Alameda County, California",643,111,8,12,25,24,60,49,107,67,36,35,79,47,76,68,118,73,122,56,12,15
1400000US06001404900,06001404900,"Census Tract 4049, Alameda County, California",749,140,20,17,42,31,100,52,153,77,123,72,60,54,27,31,87,55,115,67,22,24
1400000US06001405000,06001405000,"Census Tract 4050, Alameda County, California",553,101,0,12,63,38,84,54,41,34,85,58,40,26,38,25,96,69,40,27,66,54
1400000US06001405100,06001405100,"Census Tract 4051, Alameda County, California",150,65,31,38,0,12,40,42,14,16,23,18,0,12,0,12,8,12,30,27,4,7
1400000US06001405200,06001405200,"Census Tract 4052, Alameda County, California",1767,151,97,85,107,79,385,157,329,126,120,65,127,69,78,53,85,60,360,135,79,59
1400000US06001405301,06001405301,"Census Tract 4053.01, Alameda County, California",1349,88,24,22,117,58,216,73,267,90,130,68,65,34,109,56,219,85,202,86,0,12
1400000US06001405302,06001405302,"Census Tract 4053.02, Alameda County, California",1426,75,50,38,117,61,138,61,180,74,203,74,76,46,99,57,118,60,430,107,15,17
